time,distance,speed,throttle,brake,rpm,gear,drs,x,y,z
11.669,656.253829874295,228.1500032,100.0,0,10140.0,6,0,-468.0,-2389.0,7254.0
11.863,668.8127777777776,233.0,100.0,0,10140.0,6,0,-555.3313020528125,-2298.7304912158806,7256.745508042806
11.889,670.5041772105295,233.3250016,100.0,0,10193.3002624,6,0,-566.0,-2287.0,7257.0
12.069,682.2652160845064,235.5750016,100.0,0,10562.3002624,6,0,-642.0,-2196.0,7258.0
12.183,689.8794444444443,237.0,100.0,0,10796.0,6,0,-718.4396210417688,-2088.9266764620706,7259.48456282664
12.289,697.1211509204682,241.54286262857144,100.0,0,10887.235824457142,6,0,-782.0,-1997.0,7261.0
12.463,709.246111111111,249.0,100.0,0,11037.0,6,0,-811.5766882125133,-1953.398118186968,7262.397641304836
12.569,716.690141392475,250.2045469090909,100.0,0,11118.186461672727,6,0,-824.0,-1933.0,7263.0
12.903,740.2905555555556,254.0,100.0,0,11374.0,6,0,-948.6581944129896,-1732.8177857995067,7265.900056328828
12.909,740.7136650511319,254.0,100.0,0,11374.0,6,0,-951.0,-1729.0,7266.0
13.063,751.5794444444444,254.0,100.0,0,11374.0,6,0,-1007.7913556514885,-1635.6229935346523,7268.911019667029
13.069,752.0048806661002,254.11666915555554,100.0,0,11361.566401422222,6,0,-1010.0,-1632.0,7269.0
13.329,770.6911823769593,259.1722247111111,100.0,0,10822.788623644445,6,0,-1107.0,-1474.0,7271.0
13.423,777.6794444444444,261.0,100.0,0,10628.0,6,0,-1139.3908290501072,-1420.7209411517772,7272.265488237108
13.549,787.2945776389063,268.6500077714286,100.0,0,10729.250102857142,6,0,-1182.0,-1350.0,7274.0
13.689,798.2055066683234,277.1500077714286,100.0,0,10841.750102857142,6,0,-1237.0,-1258.0,7275.0
13.703,799.3016666666665,278.0,100.0,0,10853.0,6,0,-1244.3000606451758,-1245.7363187889287,7275.154016266765
13.863,811.8794444444443,283.0,100.0,0,10966.0,7,0,-1350.9940525245263,-1066.0338116262174,7277.913379056669
13.929,817.0756241067403,283.4125008,100.0,0,11026.2251168,7,0,-1389.0,-1002.0,7279.0
14.023,824.5016666666666,284.0,100.0,0,11112.0,7,0,-1427.174252372997,-937.7449541222519,7280.180950510856
14.223,840.5016666666667,288.0,100.0,0,11252.0,7,0,-1463.986257891876,-876.7271673062087,7281.522431238977
14.309,847.4323694324879,289.6125024,100.0,0,11282.6375456,7,0,-1488.0,-838.0,7282.0
14.383,853.4349999999998,291.0,100.0,0,11309.0,7,0,-1515.7781445793016,-793.4263769486649,7282.410144319909
14.449,858.8320610407585,292.41428845714285,100.0,0,11338.935772342857,7,0,-1548.0,-742.0,7283.0
14.663,876.535,297.0,100.0,0,11436.0,7,0,-1697.2565931412764,-505.4576601356388,7287.161464924773
14.709,880.3536982313449,297.5750016,100.0,0,11318.5080064,7,0,-1724.0,-463.0,7288.0
14.903,896.535,300.0,100.0,0,10823.0,7,0,-1786.8413427267799,-362.1742697394928,7290.287146250788
15.089,912.2830830683422,303.32143085714284,100.0,0,10569.906968685715,7,0,-1830.0,-293.0,7292.0
15.183,920.2572222222221,305.0,100.0,0,10442.0,8,0,-1866.446778625919,-235.64338787004968,7293.193396611852
15.343,933.8127777777777,305.0,100.0,0,10517.0,8,0,-1944.0233484921396,-113.83564641432885,7295.452801143656
15.389,937.7390628158971,305.7666688,100.0,0,10538.083392,8,0,-1966.0,-79.0,7296.0
15.583,954.4127777777777,309.0,100.0,0,10627.0,8,0,-2053.4814048658063,60.98184362542899,7297.931853876633
15.589,954.927938355944,309.0,100.0,0,10631.2000896,8,0,-2056.0,65.0,7298.0
15.743,968.146111111111,309.0,100.0,0,10739.0,8,0,-2120.5366310566255,167.36426488776237,7300.1325153621065
15.79,972.1998281282048,309.47000064,100.0,0,10738.76499968,8,0,-2148.0,211.0,7301.0
15.97,987.8360239879919,311.27000064,100.0,0,10737.86499968,8,0,-2286.0,431.0,7305.0
16.143,1002.9238888888889,313.0,100.0,0,10737.0,8,0,-2363.287787272197,554.5253192716439,7307.6430291213965
16.343,1020.3683333333332,314.0,100.0,0,10769.0,8,0,-2406.3191146489294,625.218790713036,7308.910294359952
16.41,1026.2212184540183,314.16750016,100.0,0,10780.39001088,8,0,-2432.0,668.0,7309.0
16.45,1029.718190648664,314.26750016,100.0,0,10787.19001088,8,0,-2450.0,698.0,7309.0
16.709,1052.3915719533384,314.91500032,100.0,0,10831.22002176,8,0,-2569.0,891.0,7312.0
16.743,1055.368333333333,315.0,100.0,0,10837.0,8,0,-2590.2421744795656,926.0265787357163,7312.708601465846
16.944,1072.9558333333332,315.0,100.0,0,10834.0,8,0,-2738.1193348505553,1173.5675361944352,7317.742159020317
17.009,1078.6308646083494,314.7291658666667,100.0,0,10822.354132266666,8,0,-2773.0,1233.0,7319.0
17.184,1093.8891666666666,314.0,100.0,0,10791.0,8,0,-2816.1109590600904,1310.6573123488172,7320.868852505714
17.289,1103.0497336419376,314.0,100.0,0,10788.7031208,8,0,-2838.0,1356.0,7322.0
17.504,1121.8002777777776,314.0,100.0,0,10784.0,8,0,-2917.6812514636513,1524.3467892867732,7325.640372862563
17.529,1123.9767198830305,313.9107136,100.0,0,10784.3571456,8,0,-2927.0,1545.0,7326.0
17.749,1143.10189309673,313.12499931428573,100.0,0,10787.500002742858,8,0,-3001.0,1722.0,7328.0
17.784,1146.1447222222218,313.0,100.0,0,10788.0,8,0,-3013.186693508676,1753.0806183363816,7328.195073475623
17.944,1160.0558333333329,313.0,100.0,0,10728.0,8,0,-3071.777328770607,1907.8375397225104,7328.767087622201
18.049,1169.167028871461,312.6236553121364,100.0,0,10720.096761554865,8,0,-3105.0,1999.0,7329.0
18.223,1184.235833333333,312.0,100.0,0,10707.0,8,0,-3145.142932458232,2116.2760648515527,7329.338251933531
18.309,1191.6761394786931,311.7312496,100.0,0,10680.6624608,8,0,-3165.0,2181.0,7330.0
18.543,1211.8802777777773,311.0,100.0,0,10609.0,8,0,-3232.8237674012325,2423.6530230283215,7334.427287754512
18.689,1224.435456488124,309.95714194285716,100.0,0,10549.557090742857,8,0,-3270.0,2564.0,7337.0
18.823,1235.9136111111109,309.0,100.0,0,10495.0,8,0,-3293.2203647671636,2656.1706971081057,7338.200913472116
18.983,1249.5580555555553,307.0,100.0,0,10507.0,8,0,-3312.166541514643,2743.929990027874,7338.924735578188
19.069,1256.8792279285346,306.4624992,100.0,0,10488.7249728,8,0,-3325.0,2813.0,7340.0
19.143,1263.1580555555552,306.0,100.0,0,10473.0,8,0,-3337.951881845605,2886.750118734876,7341.374208217081
19.309,1277.1275860969483,303.9249984,100.0,0,10413.343704,8,0,-3367.0,3063.0,7345.0
19.463,1290.0024999999996,302.0,100.0,0,10358.0,8,0,-3380.825568825405,3163.8094984562526,7347.065760236402
19.589,1300.5145750704112,300.94999893333335,100.0,0,10310.749952,8,0,-3388.0,3246.0,7349.0
19.703,1310.0024999999994,300.0,100.0,0,10268.0,8,0,-3395.113556045181,3351.5445949329746,7351.764581892992
19.889,1325.4249202173892,298.8374992,100.0,0,10227.312472,8,0,-3405.0,3545.0,7357.0
20.023,1336.4913888888882,298.0,100.0,0,10198.0,8,0,-3407.525044519738,3654.2995148233185,7359.855486603936
20.183,1349.6469444444438,296.0,100.0,0,10112.0,8,0,-3405.250407375881,3758.463004702244,7362.3223478733635
20.309,1359.9227611637846,294.4249984,100.0,0,10087.849975466666,8,0,-3399.0,3852.0,7364.0
20.423,1369.180277777777,293.0,100.0,0,10066.0,8,0,-3389.9054613509134,3949.5619153793186,7365.37720363588
20.623,1385.4024999999995,292.0,100.0,0,10037.0,8,0,-3368.1945057603443,4132.951563423861,7367.44023610966
20.689,1390.7607722669677,292.0,100.0,0,10037.0,8,0,-3361.0,4184.0,7368.0
20.783,1398.3802777777773,292.0,100.0,0,10037.0,8,0,-3350.9548775724497,4246.7380375485955,7368.690334303452
21.023,1417.446944444444,286.0,1.0,0,9518.0,8,0,-3320.9958792469406,4384.047687611357,7369.973906786241
21.029,1417.9051955449545,285.437488,0.9812495999999999,0,9504.6309648,8,0,-3320.0,4388.0,7370.0
21.269,1435.2767937701249,262.937488,0.23124960000000006,0,8969.8809648,8,0,-3271.0,4563.0,7371.0
21.343,1440.2024999999994,256.0,0.0,1,8805.0,8,0,-3253.985991316951,4614.163957444378,7371.45219821554
21.429,1445.6542409255092,245.48887324444445,0.0,1,8601.22747448889,8,0,-3234.0,4671.0,7372.0
21.689,1460.6371322629416,213.71109546666668,0.0,1,7985.1719189333335,8,0,-3177.0,4830.0,7373.0
21.703,1461.4024999999995,212.0,0.0,1,7952.0,8,0,-3174.142691512611,4837.677504855718,7373.01434533144
21.903,1471.9024999999995,189.0,0.0,1,8589.0,7,0,-3133.377696917899,4941.6982067984045,7372.991380751423
21.909,1472.2032426154178,188.49998933333333,0.0,1,8583.4498816,7,0,-3132.0,4945.0,7373.0
22.143,1483.1691666666661,169.0,0.0,1,8367.0,7,0,-3074.2418606865576,5076.2739216038,7373.964953318734
22.149,1483.4267867663648,168.4562384,0.0,1,8394.6380896,7,0,-3073.0,5079.0,7374.0
22.45,1495.123573991241,141.1781192,0.0,1,9781.1190448,7,0,-3028.0,5173.0,7376.0
22.463,1495.6136111111105,140.0,0.0,1,9841.0,5,0,-3025.9803669406797,5177.1153065789285,7376.075486323281
22.65,1502.6656077543553,136.10416533333333,0.0,1,9975.016712533334,5,0,-2995.0,5242.0,7377.0
22.703,1504.6136111111105,135.0,0.0,1,10013.0,4,0,-2987.249199222857,5260.0953097653755,7377.228971572982
22.95,1513.3264333851714,127.94285531428571,0.0,1,10474.360833828572,4,0,-2959.0,5339.0,7378.0
22.983,1514.4913888888882,127.0,0.0,1,10536.0,2,0,-2955.9630012025477,5348.904688356068,7378.033533595477
23.17,1521.1046454385173,127.0,0.0,1,9874.01977344,2,0,-2943.0,5406.0,7378.0
23.183,1521.5469444444436,127.0,0.0,0,9828.0,2,0,-2942.5117422207613,5410.472974164271,7377.997769669965
23.389,1528.1539501772127,118.20283950527306,8.064063786833033,0,9621.99982508181,2,0,-2944.0,5487.0,7378.0
23.464,1530.5233333333324,115.0,11.0,0,9547.0,2,0,-2950.1961400912814,5512.13961552188,7377.982398598293
23.664,1536.9122222222213,115.0,25.0,0,9967.0,2,0,-2980.1746846903484,5569.132861577038,7377.898998753834
23.789,1540.7615119631694,112.49999616,29.375006720000002,0,9947.62497024,2,0,-2998.0,5602.0,7378.0
23.864,1543.078888888888,111.0,32.0,0,9936.0,2,0,-3006.89364863801,5621.333561481893,7378.141451479756
24.064,1549.467777777777,115.0,48.0,0,10399.0,2,0,-3023.6786733268377,5672.187520540464,7378.856004458436
24.209,1554.2371591708827,117.41666986666667,43.770827733333334,0,10721.6254272,2,0,-3027.0,5714.0,7380.0
24.304,1557.4011111111104,119.0,41.0,0,10933.0,2,0,-3024.680165040338,5744.659836002606,7381.09215636421
24.389,1560.2494618644769,120.0625024,41.0,0,10933.0,2,0,-3020.0,5772.0,7382.0
24.464,1562.778888888888,121.0,41.0,0,10933.0,2,0,-3014.115929477154,5794.468241172918,7382.535974081579
24.529,1564.985047665028,121.27083413333334,42.35417066666667,0,10877.479002666667,2,0,-3007.0,5819.0,7383.0
24.704,1570.9122222222215,122.0,46.0,0,10728.0,2,0,-2979.2129272487014,5922.042574612147,7384.806428451912
24.729,1571.7422333621475,122.0,48.29806737861752,0,10792.902993844591,2,0,-2976.0,5935.0,7385.0
25.063,1583.0783333333327,122.0,79.0,0,11660.0,2,0,-2966.366162738082,6015.847606259411,7385.072025938127
25.129,1585.691593412132,130.250016,79.0,0,11244.1991936,2,0,-2967.0,6030.0,7385.0
25.263,1591.2449999999994,147.0,79.0,0,10400.0,2,0,-2968.2685850181165,6067.047393861237,7385.01642364176
25.349,1594.7226332694347,147.0,90.28751679999999,0,10866.0131936,2,0,-2970.0,6096.0,7385.0
25.423,1597.7783333333327,147.0,100.0,0,11267.0,3,0,-2972.484403257229,6123.838076473369,7384.904879660182
25.649,1608.0594783888776,160.4187576,100.0,0,11428.7313416,3,0,-2988.0,6223.0,7384.0
25.743,1612.5338888888882,166.0,100.0,0,11496.0,3,0,-2999.726661842119,6268.46656196673,7383.232616305333
25.869,1618.6000467226747,172.3000064,100.0,0,10725.8242176,3,0,-3018.0,6330.0,7382.0
25.903,1620.2672222222216,174.0,100.0,0,10518.0,3,0,-3022.807027086431,6345.965566324507,7381.669743512114
26.103,1630.3783333333329,182.0,100.0,0,10518.0,4,0,-3050.1260132587963,6435.685931619783,7379.766882334551
26.189,1634.8375186778985,185.01000448,100.0,0,10879.2005376,4,0,-3062.0,6476.0,7379.0
26.303,1640.8783333333329,189.0,100.0,0,11358.0,4,0,-3078.1252298082254,6532.720960712956,7378.043962508644
26.489,1651.157883544,196.30714788571427,100.0,0,10940.163998171429,4,0,-3105.0,6629.0,7377.0
26.583,1656.4338888888883,200.0,100.0,0,10729.0,4,0,-3119.011071220413,6677.666399827612,7376.984437221548
26.589,1656.770760461433,200.1125024,100.0,0,10713.1746624,4,0,-3120.0,6681.0,7377.0
26.743,1665.4561111111104,203.0,100.0,0,10307.0,5,0,-3150.6681613722553,6779.673114379221,7378.155620795787
